max_depth,test_accuracy,test_f1,test_balanced_accuracy,test_auc,train_accuracy,train_f1,train_balanced_accuracy,train_auc,generalization_gap,gap_penalized,cv_acc_mean,cv_acc_std,cv_f1_mean,cv_f1_std,cv_bal_mean,cv_bal_std,cv_auc_mean,cv_auc_std,node_count
1,0.7560275545350172,0.696684616881853,0.7560275545350172,0.7560275545350172,0.7498173372997234,0.687840851742719,0.7498173372997234,0.7498173372997233,0.0,0.7560275545350172,0.7498173311709723,0.0042640433674587695,0.68780720319137,0.00715525257801395,0.7498175711929751,0.004251507469594676,0.7498175711929751,0.004251507469594642,3
2,0.7632293080054274,0.7933123775682202,0.7632293080054273,0.8580369752302075,0.7620165962110537,0.7921841175800387,0.7620165962110537,0.8547912209610029,0.0,0.7632293080054274,0.7633082696898139,0.004701041497074125,0.7922119254655339,0.0018741224237172405,0.7633080305648727,0.004704643595720917,0.8541185147283237,0.0022194400552988645,7
3,0.8609748460494729,0.8513724615041286,0.8609748460494729,0.9121597666362102,0.8624158446845154,0.8526802553821652,0.8624158446845154,0.9111355901355098,0.0014409986350424342,0.8602543467319517,0.861933082443241,0.0021365892826373007,0.851876149246278,0.0024963128301958874,0.8619330079244785,0.0021340404594618863,0.9096466808525332,0.001756359368474018,15
4,0.8728733952614549,0.8728335769471706,0.8728733952614549,0.9281102710402305,0.8739888314806117,0.8735797685742709,0.8739888314806117,0.9269756018240051,0.0011154362191567735,0.8723156771518765,0.8739627367233174,0.0033894411461623747,0.8724227302401923,0.0021416528696823886,0.8739622528451996,0.003388161697364293,0.9258458357560512,0.0014219246802190692,31
5,0.8897818599311137,0.8831729173581149,0.8897818599311136,0.9428614690856348,0.8914200720212933,0.8845801780810518,0.8914200720212933,0.9429292092922874,0.0016382120901795583,0.8889627538860239,0.8905459087943207,0.0007225266167484251,0.883651757872061,0.0008320483251878486,0.8905459024631387,0.0007251952458279953,0.9406241843128242,0.0025769990217527285,59
6,0.8996973176077654,0.8951788830715532,0.8996973176077654,0.958651377488722,0.9003835916705809,0.895432445387934,0.9003835916705809,0.9600672347779386,0.0006862740628155173,0.8993541805763576,0.8995224718699435,0.002029077159201517,0.8951592494675605,0.003912982119352134,0.8995230911594196,0.0020281969930026466,0.9568586266231923,0.004128124058843819,105
7,0.9156664231291097,0.9123073583677013,0.9156664231291096,0.9670162808853033,0.9184541516622305,0.9149775540742756,0.9184541516622307,0.9699506365379804,0.0027877285331208146,0.9142725588625493,0.9158447023332771,0.0017675563851009494,0.9125525980220415,0.0020365324881812473,0.9158447301333092,0.001767747182673636,0.9660411695518313,0.0029163097396575142,183
8,0.9217722575931531,0.9202277686126337,0.9217722575931531,0.9709395479373998,0.924625541464433,0.9229558699971994,0.9246255414644329,0.9749623513445017,0.0028532838712799213,0.9203456156575132,0.9211158116732907,0.0024444171387638606,0.9189164298135214,0.00254792062223239,0.921115807148781,0.002443220410223961,0.970657746151019,0.0012159098549361345,285
9,0.9276693455797933,0.9257791581878547,0.9276693455797933,0.9726790002405454,0.932806220969678,0.93080747010614,0.9328062209696779,0.9790640752567437,0.005136875389884721,0.9251009078848509,0.9263869380372677,0.0022319144197559607,0.9249922014176508,0.002286741540314903,0.9263869216145292,0.0022317180866567262,0.9729158848588328,0.0011991816517746025,425
10,0.9332533138503287,0.9322096782742354,0.9332533138503287,0.9739555706838591,0.9383121966494442,0.9371008939974457,0.9383121966494442,0.9821699318698512,0.005058882799115483,0.9307238724507709,0.9307969370076584,0.0011841105109207935,0.9295321744009891,0.0013055045833778186,0.9307968891076893,0.0011848657669861029,0.9734993306601826,0.0017529183938816307,601
11,0.9352885920050099,0.9345577369643234,0.9352885920050099,0.9737770980015036,0.9445488231303167,0.9438113117745048,0.9445488231303167,0.985021014075295,0.009260231125306828,0.9306584764423564,0.9330802250186616,0.0006549968490982122,0.9319890477586498,0.0007085357119649812,0.9330801507407666,0.0006551636212851463,0.9728833991596835,0.0020359743215443158,815
12,0.9360713912952718,0.9351337039978819,0.9360713912952718,0.9720349658302104,0.9495590000521893,0.9487553352244108,0.9495590000521894,0.9876996928406178,0.013487608756917457,0.9293275869168132,0.9358592882948267,0.0009272924064960444,0.9348846451805845,0.0008629937135252436,0.9358592897793431,0.0009281790532346124,0.9723619925124811,0.0022315722447943383,1081
13,0.938628535643461,0.9378763866877972,0.9386285356434609,0.9727354953471007,0.9553650644538385,0.9547576539046485,0.9553650644538385,0.9900180520760956,0.01673652881037746,0.9302602712382724,0.9378424727728945,0.0016268976149560633,0.9369060558902798,0.0015448051541330082,0.9378423534025959,0.0016261894325194743,0.9701961507647783,0.001269616116100104,1421
14,0.9428034651915249,0.9421452702702703,0.9428034651915249,0.9697711199782308,0.9618495903136579,0.9613738441215324,0.9618495903136579,0.9921604343409516,0.019046125122132995,0.9332804026304584,0.9404780768123949,0.0014883746300129327,0.9397349674023856,0.0015429205372271713,0.9404780238374413,0.0014884776536126104,0.9682924696907854,0.0012002584295300813,1835
15,0.9433253313850328,0.9428962035965927,0.9433253313850329,0.9664405558782957,0.9674990866864986,0.9672249779613963,0.9674990866864985,0.9938263239690138,0.024173755301465816,0.9312384537342999,0.941169588500844,0.0012630387324696736,0.9404613485218702,0.0013085362987904962,0.9411696214934626,0.0012629214458615735,0.9641495140874279,0.0017527418399531066,2321
16,0.9438993841978917,0.9435488105865673,0.9438993841978917,0.9605741284156432,0.9728354470017222,0.972589393859603,0.9728354470017222,0.9954044081122073,0.028936062803830542,0.9294313527959763,0.9419654681501394,0.0019885873783821624,0.9413389729850451,0.0020247505227252213,0.9419654824208404,0.00198800307492531,0.9594319517435285,0.0012175548154482114,2849
17,0.945360609539714,0.9449960598896769,0.945360609539714,0.9596149044723414,0.9774411565158395,0.9772329246935202,0.9774411565158395,0.9965011061016588,0.0320805469761255,0.9293203360516513,0.9419393942478889,0.0018471766538531039,0.941436202657553,0.0019327648985541545,0.9419393931965786,0.0018469333939532514,0.9543583126410695,0.001359255141553099,3369
18,0.9440037574365933,0.9437955057356869,0.9440037574365933,0.9524208528994121,0.9819555346798183,0.9818248721958656,0.9819555346798183,0.9975572116990056,0.03795177724322507,0.9250278688149807,0.942474333991911,0.002053119079565123,0.9420788174112447,0.002018857904103713,0.9424742716602184,0.0020529654908433416,0.9500535349895379,0.0022303301104489234,3915
19,0.9444734370107505,0.9443223443223443,0.9444734370107505,0.9484462053671636,0.985465267992276,0.9853732832646201,0.985465267992276,0.9982636608192678,0.04099183098152548,0.9239775215199877,0.9420437715719151,0.0022566357360839584,0.9416834403967318,0.0022065427533070623,0.942043739879914,0.002256758011777362,0.9458255318940342,0.0025164392266056805,4401
20,0.9430643982882789,0.9430257454697373,0.9430643982882789,0.945281705942186,0.9885966285684463,0.9885431140707338,0.9885966285684463,0.9988997056688296,0.045532230280167396,0.9202982831481952,0.9415349159445215,0.001440062414684025,0.9412300701556191,0.0013833582423567285,0.9415348638239864,0.0014400144535325283,0.9429222435240631,0.002337616613276283,4865
21,0.941237866611001,0.941151876241246,0.941237866611001,0.9422206428914357,0.9916105631230103,0.9915763824296175,0.9916105631230103,0.9993473673093991,0.050372696512009374,0.9160515183549962,0.9411434950210357,0.0013109223370813498,0.9409475068134283,0.0012823104038255113,0.9411434165138015,0.0013108727176070621,0.94093935903524,0.0029147703249465043,5271
22,0.9423859722367185,0.9424640400250156,0.9423859722367185,0.9453222471182459,0.9935937581545848,0.9935765774015882,0.9935937581545848,0.9996414907275559,0.051207785917866344,0.9167820792777853,0.9407129385594267,0.002034507348340947,0.9405275604053417,0.002003806901064382,0.9407128881380675,0.0020344183052754383,0.9408184332893252,0.0027526015604219154,5609
23,0.9409247468948961,0.9410662224073303,0.9409247468948961,0.9417364364710401,0.995446479828819,0.995437371716934,0.995446479828819,0.999784146637144,0.05452173293392282,0.9136638804279347,0.9402040820808351,0.0015125101068307874,0.9400874575168151,0.001517602439609757,0.9402040495324163,0.0015124217523326815,0.9411651158290667,0.002328200508684618,5877
24,0.9414466130884042,0.9415076634344698,0.941446613088404,0.9416520750932609,0.9966859767235531,0.9966801725264671,0.9966859767235531,0.9998772834781595,0.05523936363514892,0.9138269312708297,0.9395386817473559,0.0018300875798233085,0.9394754539131464,0.001830842484198235,0.9395386823903354,0.0018300716712276975,0.9403782889932156,0.0023882078374796154,6131
25,0.9396200814111262,0.9397552720645665,0.9396200814111262,0.9399736333655611,0.9975862428892021,0.9975828052524989,0.9975862428892021,0.9999255887856576,0.05796616147807587,0.9106370006720883,0.9382339354050908,0.001728314190810081,0.9382166792254031,0.0017027793741914178,0.938233867101907,0.0017283139042132733,0.9385384953318384,0.0018314707831663772,6299
26,0.9402985074626866,0.9404910528506034,0.9402985074626866,0.9393996132340211,0.9983299410260424,0.9983283270210265,0.9983299410260424,0.999957490784656,0.05803143356335583,0.9112827906810087,0.9381295751050276,0.002535719015961247,0.9381354116642928,0.002502001776749715,0.9381295153117156,0.002535740377298383,0.9383570220428199,0.0026815205525177917,6419
27,0.9406116271787913,0.9407908428720083,0.9406116271787913,0.940123188527602,0.998799645112468,0.9987985478099616,0.998799645112468,0.9999708030028911,0.05818801793367667,0.911517618211953,0.9378816712996816,0.0023132699437072397,0.937912996575607,0.0022630823569204346,0.9378816029943879,0.0023133064863976706,0.9383004410367694,0.002662948797114413,6521
28,0.9400375743659326,0.9402713520819255,0.9400375743659326,0.9395691366818926,0.9990736391628829,0.9990729012966324,0.9990736391628829,0.9999833995617211,0.05903606479695034,0.9105195419674574,0.9384557576474026,0.002543289912801912,0.9385100857717938,0.0024720650919994925,0.9384557038132553,0.0025433597002897258,0.9386660302103632,0.0027482854747698775,6583
29,0.9408203736561945,0.9409620991253644,0.9408203736561946,0.9404447073426568,0.999373727884766,0.999373466297708,0.999373727884766,0.9999926278910117,0.05855335422857144,0.9115436965419088,0.9389254556055213,0.002180307583460146,0.9389640336865097,0.0021325715846219574,0.9389253660253818,0.00218035302278274,0.9389615984602161,0.002184585058693839,6633
30,0.9398288278885294,0.9401007844563354,0.9398288278885294,0.9396697733564698,0.9995172485778404,0.9995170280254279,0.9995172485778404,0.9999964816249811,0.05968842068931102,0.9099846175438739,0.9377381448183618,0.0024649396162429137,0.9377930411158978,0.002415043850630237,0.9377380611923896,0.0024649788735099025,0.9376769653779347,0.0026249713157805304,6665
